cik,company_name,taxonomy,concept,unit,value,start_date,end_date,accn,fy,fp,form,filed_date,frame
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,37294000000.0,,2016-09-24,0000320193-17-000009,2017,Q3,10-Q,2017-08-02,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,37294000000.0,,2016-09-24,0000320193-17-000070,2017,FY,10-K,2017-11-03,CY2016Q3I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,38510000000.0,,2016-12-31,0001628280-17-000717,2017,Q1,10-Q,2017-02-01,CY2016Q4I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,28573000000.0,,2017-04-01,0001628280-17-004790,2017,Q2,10-Q,2017-05-03,CY2017Q1I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,31915000000.0,,2017-07-01,0000320193-17-000009,2017,Q3,10-Q,2017-08-02,CY2017Q2I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,49049000000.0,,2017-09-30,0000320193-17-000070,2017,FY,10-K,2017-11-03,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,49049000000.0,,2017-09-30,0000320193-18-000007,2018,Q1,10-Q,2018-02-02,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,49049000000.0,,2017-09-30,0000320193-18-000070,2018,Q2,10-Q,2018-05-02,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,49049000000.0,,2017-09-30,0000320193-18-000100,2018,Q3,10-Q,2018-08-01,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,44242000000.0,,2017-09-30,0000320193-18-000145,2018,FY,10-K,2018-11-05,CY2017Q3I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,62985000000.0,,2017-12-30,0000320193-18-000007,2018,Q1,10-Q,2018-02-02,CY2017Q4I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,34311000000.0,,2018-03-31,0000320193-18-000070,2018,Q2,10-Q,2018-05-02,CY2018Q1I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,38489000000.0,,2018-06-30,0000320193-18-000100,2018,Q3,10-Q,2018-08-01,CY2018Q2I
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,55888000000.0,,2018-09-29,0000320193-18-000145,2018,FY,10-K,2018-11-05,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,55888000000.0,,2018-09-29,0000320193-19-000010,2019,Q1,10-Q,2019-01-30,
320193,Apple Inc.,us-gaap,AccountsPayableCurrent,USD,55888000000.0,,2018-09-29,0000320193-19-000066,2019,Q2,10-Q,2019-05-01,
